,Incident Number,long,latt,PC Sector
580,26799815,-1.51882,53.679019999999994,WF2 9
581,26800022,-1.66822,54.80154,DH7 9
582,26800224,1.30256,52.65537,NR6 7
583,26800237,0.46391,50.85641,TN39 4
584,26800262,-1.46373,52.91308000000001,DE1 2
585,26800334,0.90946,51.88042,CO2 7
586,26800454,-0.34077,51.76099,AL3 5
587,26800574,-1.68778,53.702180000000006,WF15 7
588,26801008,-2.92267,50.955220000000004,TA19 9
589,26801048,-0.41572,51.523709999999994,UB4 0
590,26801111,-2.13153,53.617509999999996,OL16 5
591,26801262,0.54755,51.60093,SS11 8
592,26801381,-1.83404,52.64963,WS14 0
593,26801403,0.67686,51.19894,ME17 2
594,26801537,-3.50638,50.7315,EX4 7
595,26801569,-2.37652,51.207370000000004,BA11 4
596,26802247,0.54378,51.3818,ME7 5
